$ICAO,$Registration,sigh,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3
C81532,ZK-HFA,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/71577_1625971127.jpg,,
C821F5,ZK-HFF,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/98695_1633458181.jpg,https://cdn.jetphotos.com/full/6/15050_1582835534.jpg,https://cdn.jetphotos.com/full/6/76701_1581772458.jpg
C822B3,ZK-HFH,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C818A2,ZK-HFJ,True,Private,Mcdonnell Douglas Helicopter Company 520N,MD52,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/2/79993_1173774199.jpg,https://cdn.jetphotos.com/full/1/97554_1171608775.jpg,https://cdn.jetphotos.com/full/2/57647_1115693181.jpg
C80E1C,ZK-HFT,True,Private,Mcdonnell Douglas Helicopter Company 369E,H500,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/63656_1594256523.jpg,,
C80E79,ZK-HFZ,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/83603_1605166184.jpg,,
C80EBF,ZK-HGO,True,Private,Eurocopter As 350 Ba,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/1/37162_1270386114.jpg,https://cdn.jetphotos.com/full/1/14858_1146042986.jpg,https://cdn.jetphotos.com/full/1/85088_1109870040.jpg
C824E7,ZK-HGQ,True,Private,Eurocopter As 350 B2,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/5/16864_1657702415.jpg,https://cdn.jetphotos.com/full/6/26346_1617485691.jpg,
C8286C,ZK-HGR,True,Private,Eurocopter As 350 B3,AS50,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,,,
C82226,ZK-HGU,True,Private,Messerschmitt-Bolkow-Blohm Gmbh Mbb Bk 117 B-2,BK17,Civ,Aerial Firefighter,Bushfire,Wocka Wocka,Dogs with Jobs,https://www.nafc.org.au/,https://cdn.jetphotos.com/full/6/32608_1641002499.jpg,https://cdn.jetphotos.com/full/6/26624_1633140964.jpg,https://cdn.jetphotos.com/full/6/46424_1604202050.jpg
